Time,Latitude,Longitude, Image
15/02/2022 12:16:50,-47.68027764336904,-154.62210223566186,img_1.jpg
15/02/2022 12:17:14,-47.063931066929236,-152.6823659401163,img_2.jpg
15/02/2022 12:17:40,-46.334737207200874,-150.57515350138996,img_3.jpg
15/02/2022 12:18:09,-45.48940951303159,-148.33901528423536,img_4.jpg
15/02/2022 12:18:38,-44.59708930957692,-146.1746325586082,img_5.jpg
15/02/2022 12:19:07,-43.66146829810531,-144.0830054457471,img_6.jpg
15/02/2022 12:19:35,-42.687677009975474,-142.067141994411,img_7.jpg
15/02/2022 12:20:04,-41.670345703353036,-140.10910979733535,img_8.jpg
15/02/2022 12:20:33,-40.61502517593263,-138.21399106029997,img_9.jpg
15/02/2022 12:21:02,-39.52752415443647,-136.38551075623434,img_10.jpg
15/02/2022 12:21:31,-38.40605395627193,-134.61433332845738,img_11.jpg
15/02/2022 12:21:59,-37.25701632225538,-132.9045424368199,img_12.jpg
15/02/2022 12:22:28,-36.07922275423237,-131.24848764945077,img_13.jpg
15/02/2022 12:22:57,-34.876548078699,-129.6462103436878,img_14.jpg
15/02/2022 12:23:26,-33.64893556802667,-128.09248767854683,img_15.jpg
15/02/2022 12:23:54,-32.401494005010136,-126.58878338480561,img_16.jpg
15/02/2022 12:24:23,-31.13147173726546,-125.12712736829457,img_17.jpg
15/02/2022 12:24:52,-29.842078122980563,-123.70702585268107,img_18.jpg
15/02/2022 12:25:21,-28.534707873495556,-122.3259185369235,img_19.jpg
15/02/2022 12:25:50,-27.211118608882085,-120.981761097995,img_20.jpg
15/02/2022 12:26:18,-25.871115325778675,-119.67072012947817,img_21.jpg
15/02/2022 12:26:47,-24.51756760710156,-118.3921465244635,img_22.jpg
15/02/2022 12:27:16,-23.151373231494752,-117.1435386764658,img_23.jpg
15/02/2022 12:27:45,-21.776195809050243,-115.92497476151445,img_24.jpg
15/02/2022 12:28:13,-20.386351832713505,-114.72847555713795,img_25.jpg
15/02/2022 12:28:42,-18.986664554099047,-113.55549222967421,img_26.jpg
15/02/2022 12:29:11,-17.581212313107805,-112.4066291731946,img_27.jpg
15/02/2022 12:29:40,-16.17030213360754,-111.27938977345437,img_28.jpg
15/02/2022 12:30:08,-14.745260782303928,-110.16448432323247,img_29.jpg
15/02/2022 12:30:37,-13.314008101145726,-109.06588651943486,img_30.jpg
15/02/2022 12:31:06,-11.876739589314456,-107.98144507307397,img_31.jpg
15/02/2022 12:31:35,-10.433009722549638,-106.90863162670531,img_32.jpg
15/02/2022 12:32:04,-8.984490753528041,-105.84656290397366,img_33.jpg
15/02/2022 12:32:32,-7.533421284053319,-104.7947754437355,img_34.jpg
15/02/2022 12:33:01,-6.078663385228474,-103.75039556914308,img_35.jpg
15/02/2022 12:33:30,-4.62128640888143,-102.71219991859095,img_36.jpg
15/02/2022 12:33:59,-3.162818767521289,-101.67930943087802,img_37.jpg
15/02/2022 12:34:27,-1.7022169985368814,-100.64904785147665,img_38.jpg
15/02/2022 12:34:56,-0.2409453350066141,-99.62053104172709,img_39.jpg
15/02/2022 12:35:25,1.2208815167055964,-98.59192827273527,img_40.jpg
15/02/2022 12:35:54,2.6831205922774077,-97.56142678492897,img_41.jpg
15/02/2022 12:36:23,4.143487723310182,-96.52871622949336,img_42.jpg
15/02/2022 12:36:51,5.602326852305401,-95.49162082298946,img_43.jpg
15/02/2022 12:37:20,7.059060281815618,-94.44859087720017,img_44.jpg
15/02/2022 12:37:49,8.512604976614735,-93.39841277469704,img_45.jpg
15/02/2022 12:38:18,9.962537085238038,-92.33936641461369,img_46.jpg
15/02/2022 12:38:46,11.409087810855928,-91.26919320529429,img_47.jpg
15/02/2022 12:39:15,12.849493582292826,-90.18780759610118,img_48.jpg
15/02/2022 12:39:44,14.284655223414699,-89.09234506691296,img_49.jpg
15/02/2022 12:40:13,15.713453629077229,-87.9813743742227,img_50.jpg
15/02/2022 12:40:41,17.13540600654097,-86.85289914447955,img_51.jpg
15/02/2022 12:41:10,18.549782942909356,-85.7050186597905,img_52.jpg
15/02/2022 12:41:39,19.949117398083775,-84.54140324782068,img_53.jpg
15/02/2022 12:42:08,21.337932423399685,-83.35585389059314,img_54.jpg
15/02/2022 12:42:36,22.72237050635821,-82.14015110544734,img_55.jpg
15/02/2022 12:43:05,24.096357778281902,-80.8964025842664,img_56.jpg
15/02/2022 12:43:34,25.45850117273829,-79.62266922527648,img_57.jpg
15/02/2022 12:44:03,26.806007093520158,-78.31827983179576,img_58.jpg
15/02/2022 12:44:31,28.138869139858567,-76.97980140517993,img_59.jpg
15/02/2022 12:45:00,29.454980345761932,-75.60570594654286,img_60.jpg
15/02/2022 12:45:29,30.75446928022021,-74.19196818758633,img_61.jpg
15/02/2022 12:45:58,32.0350125089973,-72.73696301378888,img_62.jpg
15/02/2022 12:46:27,33.29501836162932,-71.23817717789737,img_63.jpg
15/02/2022 12:46:55,34.5320163154284,-69.69406814280761,img_64.jpg
15/02/2022 12:47:24,35.746869492837234,-68.09866604079527,img_65.jpg
15/02/2022 12:47:53,36.93647807633484,-66.45073963220668,img_66.jpg
15/02/2022 12:48:22,38.0993152124168,-64.74688327517411,img_67.jpg
15/02/2022 12:48:50,39.232318877020546,-62.985838424106184,img_68.jpg
15/02/2022 12:49:19,40.3332582661843,-61.16518598617946,img_69.jpg
15/02/2022 12:49:48,41.40091340821026,-59.28062312016127,img_70.jpg
15/02/2022 12:50:17,42.43387146317326,-57.327643241478405,img_71.jpg
15/02/2022 12:50:46,43.425973473433906,-55.31109520526944,img_72.jpg
